Shoulder Press Activity Log
================================================================================
Started: 2025-11-28 11:04:11
================================================================================

Timestamp | Press # | Max Extension | Max Height | Duration (s) | Quality
--------------------------------------------------------------------------------
2025-11-28 11:04:20 | #001 | 161.5° | Height: 0.303 |    0.0s | Fair - Partial lockout
2025-11-28 11:04:28 | #002 | 162.8° | Height: 0.302 |    0.0s | Fair - Partial lockout
2025-11-28 11:04:50 | #003 | 163.8° | Height: 0.300 |    0.0s | Fair - Partial lockout
2025-11-28 11:04:58 | #004 | 160.4° | Height: 0.334 |    0.0s | Fair - Partial lockout
2025-11-28 11:04:58 | #005 | 160.5° | Height: 0.336 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:01 | #006 | 162.8° | Height: 0.326 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:01 | #007 | 161.6° | Height: 0.328 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:02 | #008 | 160.0° | Height: 0.326 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:02 | #009 | 161.6° | Height: 0.326 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:02 | #010 | 160.1° | Height: 0.325 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:03 | #011 | 162.1° | Height: 0.326 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:04 | #012 | 160.1° | Height: 0.331 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:06 | #013 | 163.6° | Height: 0.324 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:07 | #014 | 160.1° | Height: 0.323 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:07 | #015 | 160.4° | Height: 0.328 |    0.0s | Fair - Partial lockout
2025-11-28 11:05:07 | #016 | 160.1° | Height: 0.329 |    0.0s | Fair - Partial lockout
2025-11-28 11:10:02 | #001 | 163.6° | Height: 0.311 |    0.0s | Fair - Partial lockout
2025-11-28 11:10:26 | #002 | 160.5° | Height: 0.321 |   23.9s | Fair - Partial lockout
2025-11-28 11:10:28 | #003 | 161.9° | Height: 0.322 |    2.8s | Fair - Partial lockout
2025-11-28 11:10:31 | #004 | 161.5° | Height: 0.321 |    2.8s | Fair - Partial lockout
2025-11-28 11:10:34 | #005 | 160.1° | Height: 0.323 |    2.9s | Fair - Partial lockout
2025-11-28 11:10:49 | #006 | 160.0° | Height: 0.340 |   14.8s | Fair - Partial lockout
2025-11-28 12:16:55 | #001 | 162.6° | Height: 0.317 |    0.0s | Fair - Partial lockout
2025-11-28 12:16:58 | #002 | 161.5° | Height: 0.329 |    3.0s | Fair - Partial lockout
2025-11-28 12:17:01 | #003 | 161.2° | Height: 0.325 |    3.1s | Fair - Partial lockout
2025-11-28 12:17:06 | #004 | 165.9° | Height: 0.332 |    5.2s | Good - Nearly full
2025-11-28 12:17:14 | #005 | 160.0° | Height: 0.340 |    8.3s | Fair - Partial lockout
2025-11-28 12:17:19 | #006 | 162.3° | Height: 0.340 |    4.4s | Fair - Partial lockout
2025-11-28 12:17:26 | #007 | 161.5° | Height: 0.322 |    7.6s | Fair - Partial lockout
2025-11-28 12:17:41 | #008 | 160.0° | Height: 0.327 |   14.5s | Fair - Partial lockout
